Model,Baseline_Mean_Percent,Baseline_SD_Percent,Dipeptide_Mean_Percent,Dipeptide_SD_Percent,Change_Percentage_Points,Dataset_Size,Function_Classes,Baseline_Features,Dipeptide_Features,CV_Folds
Logistic Regression,32.83,4.99,38.56,6.57,5.72,192,4,25,425,5
Random Forest,40.19,7.16,39.11,9.41,-1.08,192,4,25,425,5
SVM,36.46,5.49,38.0,2.82,1.54,192,4,25,425,5
